MQ135_Analog,MQ3_Analog,MiCS5524_Analog,Output,RSL_Hours
470,832,606,0,13
250,239,280,1,81
219,318,136,1,97
258,246,249,1,78
572,880,701,0,10
686,740,744,0,12
700,735,580,0,10
321,331,350,1,41
721,842,568,0,11
566,855,580,0,14
161,130,230,1,127
477,863,759,0,13
112,281,139,1,125
653,615,642,0,13
190,329,112,1,115
756,678,764,0,12
937,838,776,0,6
949,700,918,0,3
192,260,313,1,88
495,652,645,0,14
266,350,102,1,87
908,500,819,0,13
252,120,214,1,102
975,1023,872,0,2
776,557,934,0,9
172,108,142,1,154
300,101,218,1,111
812,904,941,0,2
484,766,518,0,17
192,268,350,1,67
232,210,133,1,125
335,137,288,1,69
199,120,321,1,110
906,701,714,0,8
716,751,569,0,9
327,205,210,1,74
242,136,317,1,104
818,557,829,0,8
141,219,306,1,89
577,550,643,0,16
180,100,281,1,114
820,532,779,0,10
519,719,817,0,12
168,350,276,1,61
100,212,330,1,93
232,194,272,1,98
982,773,1023,0,4
286,346,169,1,75
494,903,727,0,9
550,613,756,0,16
443,779,676,0,13
790,487,863,0,10
1023,700,868,0,3
1015,495,839,0,8
694,1023,642,0,10
245,116,272,1,103
719,929,528,0,10
184,142,143,1,134
452,687,575,0,16
237,281,253,1,88
176,110,100,1,150
490,739,602,0,18
300,328,333,1,30
483,689,557,0,17
113,252,290,1,105
671,562,780,0,12
517,803,622,0,11
136,247,109,1,138
268,233,132,1,92
524,614,584,0,18
158,326,107,1,107
257,163,226,1,110
336,228,153,1,86
312,193,195,1,86
581,699,675,0,12
643,603,723,0,15
139,198,221,1,110
496,667,568,0,14
100,169,137,1,151
932,487,824,0,8
566,782,592,0,12
776,658,550,0,13
868,839,767,0,5
190,283,166,1,108
300,160,312,1,74
129,233,338,1,81
582,765,672,0,14
579,861,556,0,11
125,321,114,1,122
183,184,242,1,114
299,281,224,1,64
863,801,923,0,4
735,608,904,0,8
705,969,696,0,8
177,319,176,1,92
332,234,320,1,53
497,688,630,0,17
510,784,671,0,13
240,235,324,1,62
882,684,868,0,9
559,634,785,0,10
337,161,176,1,91
886,685,590,0,12
524,900,759,0,9
210,236,259,1,97
179,303,311,1,63
1023,649,723,0,6
606,771,568,0,14
782,612,757,0,14
327,267,319,1,49
171,199,298,1,86
206,220,260,1,90
293,220,136,1,94
348,340,235,1,50
200,275,277,1,71
459,837,580,0,12
1023,958,962,0,3
728,627,849,0,12
891,627,706,0,13
329,307,293,1,40
334,300,286,1,37
697,426,658,0,15
210,196,350,1,84
525,958,460,0,12
914,920,1023,0,0
295,215,179,1,84
242,309,145,1,96
282,100,317,1,89
468,688,677,0,15
134,151,241,1,114
959,452,669,0,10
297,123,324,1,83
204,244,324,1,75
270,339,234,1,67
912,924,839,0,2
545,806,459,0,16
102,350,272,1,89
705,512,809,0,15
429,986,614,0,14
196,326,169,1,83
